"","GEOID","household_income","employment_rate","birth_rate","NAME","Less_HS","HS_Equiv","Some_College","Bachelors","Graduate_Prof"
"569","37179020602",57411,50.3,0.78,"Census Tract 206.02; Union County; North Carolina",0.224639811820053,0.28579829461923,0.230520435166128,0.154072331667157,0.104969126727433
"570","37179020701",61106,55,0.78,"Census Tract 207.01; Union County; North Carolina",0.208188489764388,0.223252220934724,0.37466203167246,0.141753572808034,0.052143684820394
"571","37179020702",69569,51.8,0.78,"Census Tract 207.02; Union County; North Carolina",0.223577235772358,0.292344173441734,0.342479674796748,0.0955284552845529,0.046070460704607
"572","37179020800",59767,56.9,0.78,"Census Tract 208; Union County; North Carolina",0.1745,0.32225,0.37875,0.09575,0.02875
"573","37179020901",57656,53.5,0.78,"Census Tract 209.01; Union County; North Carolina",0.199269252388983,0.288083192804947,0.39769533445756,0.0879707700955593,0.0269814502529511
"574","37179020902",64175,59.1,0.78,"Census Tract 209.02; Union County; North Carolina",0.216783216783217,0.288344988344988,0.315850815850816,0.124708624708625,0.0543123543123543
"575","37179021004",132816,70.3,0.78,"Census Tract 210.04; Union County; North Carolina",0.0491304347826087,0.217391304347826,0.251739130434783,0.307391304347826,0.174347826086957
"576","37179021005",82969,57.5,0.78,"Census Tract 210.05; Union County; North Carolina",0.116605788142737,0.387187412194437,0.290531048047204,0.136555212138241,0.0691205394773813
"577","37179021006",226205,72.6,0.78,"Census Tract 210.06; Union County; North Carolina",0.0324407826982492,0.135942327497425,0.183316168898043,0.452883625128733,0.195417095777549
"578","37179021007",250000,63.3,0.78,"Census Tract 210.07; Union County; North Carolina",0.0320529127448486,0.0663953192571865,0.128466039175782,0.412872042737217,0.360213686084966
"579","37179021009",200795,68.8,0.78,"Census Tract 210.09; Union County; North Carolina",0.0178288431061807,0.0962757527733756,0.253169572107765,0.343502377179081,0.289223454833597
"580","37179021012",137760,64.6,0.78,"Census Tract 210.12; Union County; North Carolina",0.0390243902439024,0.112520325203252,0.289756097560976,0.401626016260163,0.157073170731707
"581","37179021013",92750,69.1,0.78,"Census Tract 210.13; Union County; North Carolina",0.0196821957385338,0.265077645359335,0.232936078006501,0.346334416756952,0.135969664138678
"582","37179021014",80602,63.6,0.78,"Census Tract 210.14; Union County; North Carolina",0.100686498855835,0.115560640732265,0.447940503432494,0.214530892448513,0.121281464530892
"583","37179021015",79143,55.1,0.78,"Census Tract 210.15; Union County; North Carolina",0.0931780366056572,0.260676650027732,0.264281752634498,0.279256794231836,0.102606766500277
"584","37179021016",217232,74.3,0.78,"Census Tract 210.16; Union County; North Carolina",0.00855614973262032,0.0734402852049911,0.136541889483066,0.52156862745098,0.259893048128342
"585","37179021017",222759,64.4,0.78,"Census Tract 210.17; Union County; North Carolina",0.0531331215708923,0.0612185965925498,0.213976321108865,0.399653479641929,0.272018481085764
"586","37179021018",164199,61.4,0.78,"Census Tract 210.18; Union County; North Carolina",0.0314987885081343,0.0875735548632745,0.194184839044652,0.412253374870197,0.274489442713742
"587","37179021019",163244,64.6,0.78,"Census Tract 210.19; Union County; North Carolina",0.00990675990675991,0.0550699300699301,0.217948717948718,0.454254079254079,0.262820512820513
"588","37179021020",194135,72.9,0.78,"Census Tract 210.20; Union County; North Carolina",0.0048951048951049,0.0741258741258741,0.248951048951049,0.393006993006993,0.279020979020979
"589","37179021021",171250,69.3,0.78,"Census Tract 210.21; Union County; North Carolina",0.0488466757123474,0.112618724559023,0.179782903663501,0.317503392130258,0.341248303934871
"590","45023020100",34732,43.1,3.24,"Census Tract 201; Chester County; South Carolina",0.158697158697159,0.447678447678448,0.327789327789328,0.0575190575190575,0.00831600831600832
"591","45023020200",46000,59,3.24,"Census Tract 202; Chester County; South Carolina",0.223551938726663,0.321685016754428,0.384394447103877,0.0560076591670656,0.0143609382479655
"592","45023020300",42230,48.4,3.24,"Census Tract 203; Chester County; South Carolina",0.119415448851775,0.426722338204593,0.304384133611691,0.111899791231733,0.0375782881002088
"593","45023020400",64063,52.7,3.24,"Census Tract 204; Chester County; South Carolina",0.160487804878049,0.501463414634146,0.199512195121951,0.0604878048780488,0.0780487804878049
"594","45023020500",66250,56.5,3.24,"Census Tract 205; Chester County; South Carolina",0.132250580046404,0.48677494199536,0.225058004640371,0.0960556844547564,0.059860788863109
"595","45023020601",55000,54.8,3.24,"Census Tract 206.01; Chester County; South Carolina",0.14726971869829,0.396580253723111,0.252068394925538,0.0706012134583563,0.133480419194705
"596","45023020602",53438,54,3.24,"Census Tract 206.02; Chester County; South Carolina",0.110859728506787,0.397812971342383,0.310708898944193,0.142911010558069,0.0377073906485671
"597","45023020700",53056,60.7,3.24,"Census Tract 207; Chester County; South Carolina",0.112606232294618,0.355524079320113,0.382436260623229,0.0941926345609065,0.0552407932011331
"598","45023020800",48750,53,3.24,"Census Tract 208; Chester County; South Carolina",0.140285714285714,0.411714285714286,0.322571428571429,0.0874285714285714,0.038
"599","45023020900",45833,49.9,3.24,"Census Tract 209; Chester County; South Carolina",0.141927083333333,0.407552083333333,0.289713541666667,0.0865885416666667,0.07421875
"600","45023021000",34583,41.6,3.24,"Census Tract 210; Chester County; South Carolina",0.214183381088825,0.373925501432665,0.30945558739255,0.0501432664756447,0.0522922636103152
"601","45057010100",68661,58.6,2.29,"Census Tract 101; Lancaster County; South Carolina",0.0939965694682676,0.381818181818182,0.235334476843911,0.203430531732419,0.0854202401372213
"602","45057010201",48088,30.5,2.29,"Census Tract 102.01; Lancaster County; South Carolina",0.246031746031746,0.467813051146384,0.222222222222222,0.0379188712522046,0.0260141093474427
"603","45057010202",41898,51.5,2.29,"Census Tract 102.02; Lancaster County; South Carolina",0.149297615158445,0.362953283240771,0.343025155178046,0.110421430904933,0.0343025155178046
"604","45057010300",58942,60.1,2.29,"Census Tract 103; Lancaster County; South Carolina",0.1022070415134,0.362585391487126,0.355754072517078,0.120861797162375,0.058591697320021
"605","45057010400",71809,67.7,2.29,"Census Tract 104; Lancaster County; South Carolina",0.125780553077609,0.27743086529884,0.430865298840321,0.107939339875112,0.0579839429081178
"606","45057010500",40972,59.7,2.29,"Census Tract 105; Lancaster County; South Carolina",0.247491638795987,0.356465997770346,0.31298773690078,0.0128205128205128,0.0702341137123746
